Sample 1,Valence for Sample 1,Arousal for Sample 1,Sample 2,Valence for Sample 2,Arousal for Sample 2,Sample 3,Valence for Sample 3,Arousal for Sample 3,Sample 4,Valence for Sample 4,Arousal for Sample 4,Sample 5,Valence for Sample 5,Arousal for Sample 5,Sample 6,Valence for Sample 6,Arousal for Sample 6,Sample 7,Valence for Sample 7,Arousal for Sample 7,Sample 8,Valence for Sample 8,Arousal for Sample 8,Sample 9,Valence for Sample 9,Arousal for Sample 9,Sample 10,Valence for Sample 10,Arousal for Sample 10,Sample 11,Valence for Sample 11,Arousal for Sample 11,Sample 12,Valence for Sample 12,Arousal for Sample 12,Sample 13,Valence for Sample 13,Arousal for Sample 13,Sample 14,Valence for Sample 14,Arousal for Sample 14,Sample 15,Valence for Sample 15,Arousal for Sample 15,Sample 16,Valence for Sample 16,Arousal for Sample 16,Sample 17,Valence for Sample 17,Arousal for Sample 17,Sample 18,Valence for Sample 18,Arousal for Sample 18,Sample 19,Valence for Sample 19,Arousal for Sample 19,Sample 20,Valence for Sample 20,Arousal for Sample 20,Sample 21,Valence for Sample 21,Arousal for Sample 21,Sample 22,Valence for Sample 22,Arousal for Sample 22,Sample 23,Valence for Sample 23,Arousal for Sample 23,Sample 24,Valence for Sample 24,Arousal for Sample 24,Sample 25,Valence for Sample 25,Arousal for Sample 25
2,H,L,1,H,H,2,H,L,2,H,L,2,H,H,1,H,H,1,L,H,2,H,H,2,H,L,1,H,L,1,H,L,2,H,L,1,H,H,1,H,H,1,H,H,1,H,L,3,L,L,2,H,L,1,H,H,2,H,H,2,H,H,1,H,H,2,H,H,2,H,L,2,H,H
5,H,L,4,L,L,2,H,H,4,L,H,3,L,L,1,H,H,5,L,L,4,L,L,1,L,H,4,H,L,2,L,H,1,H,H,5,L,L,2,H,L,1,H,H,4,H,L,4,L,L,5,L,L,2,H,H,5,L,H,3,L,H,5,L,L,3,L,H,5,L,L,1,H,H
4,L,H,2,H,H,3,H,L,5,H,H,3,L,L,2,H,L,3,H,H,2,H,H,1,L,L,3,L,H,5,H,L,2,H,H,4,L,H,4,H,H,1,H,L,4,L,H,3,H,L,4,H,L,2,H,L,3,L,H,5,L,L,4,H,H,3,H,L,4,L,H,3,H,H
3,H,H,3,H,H,4,H,H,3,H,H,3,H,H,3,H,H,2,H,H,3,H,H,4,H,H,4,H,H,4,H,H,2,H,H,4,H,H,3,H,H,1,H,L,4,L,H,3,H,H,4,H,H,1,H,L,4,H,H,4,H,L,4,L,H,2,H,L,4,L,L,3,L,L
4,L,H,5,H,H,3,L,H,3,L,H,2,H,H,2,H,H,3,L,H,5,H,H,1,H,L,2,H,L,3,L,H,2,L,H,4,L,H,4,H,H,1,H,L,5,H,H,3,H,L,4,H,H,3,L,L,2,L,H,4,L,H,4,L,H,2,H,H,3,L,L,4,H,H
5,H,H,4,H,H,5,L,L,4,H,H,4,H,L,3,H,L,2,H,H,5,H,H,1,L,L,4,H,L,5,L,H,4,H,H,5,L,H,4,H,H,2,L,L,3,L,H,4,H,L,4,H,H,3,L,L,5,L,H,5,L,H,5,H,L,3,L,L,4,L,L,2,H,L
4,H,H,3,H,H,3,L,L,2,H,H,3,H,L,4,L,L,4,H,H,3,H,H,1,L,L,4,H,H,2,H,H,2,H,H,2,H,L,1,H,H,2,H,H,3,L,L,2,H,H,3,H,H,3,L,H,2,H,H,3,L,L,3,H,L,2,L,H,3,H,L,3,H,H
5,H,L,5,H,H,5,L,H,4,H,H,5,H,L,3,H,L,5,H,L,5,L,H,4,H,H,5,L,H,4,H,H,4,L,L,4,H,L,4,L,H,5,H,H,5,L,L,4,L,H,5,L,H,5,H,L,5,L,H,5,H,H,5,L,L,5,H,L,5,L,H,5,L,L
2,H,L,2,H,L,1,H,H,3,H,L,3,L,L,3,H,H,2,L,H,2,H,H,3,H,H,4,L,L,1,L,H,2,H,H,4,L,L,4,L,H,2,H,H,2,H,H,2,L,L,5,H,H,2,H,H,3,H,H,5,H,H,2,H,H,3,H,H,4,H,L,4,H,H
3,L,H,3,H,H,2,L,H,2,L,L,4,L,H,3,L,L,3,L,H,4,L,H,3,L,H,1,H,L,5,L,L,5,L,L,4,L,L,3,L,L,3,L,H,4,H,L,4,H,H,3,H,L,4,H,H,4,H,L,4,H,H,4,L,H,2,L,L,3,H,L,4,H,H
5,L,L,4,L,L,4,L,L,4,L,L,3,L,L,3,L,L,5,L,L,4,L,L,2,H,H,3,L,L,4,L,L,3,L,L,4,L,L,3,L,L,4,L,L,2,H,H,4,L,L,3,H,L,5,L,L,3,H,L,3,L,H,5,L,L,3,H,L,2,H,L,3,L,L
4,L,L,4,L,L,3,L,L,4,H,L,4,L,L,3,L,L,3,L,L,3,L,L,4,L,L,4,L,L,3,L,L,4,L,L,4,L,L,4,L,L,4,L,L,4,L,L,4,L,L,3,L,L,4,L,L,5,H,H,4,L,L,4,L,L,4,L,L,3,L,L,5,H,H
4,L,L,5,L,L,5,L,L,5,L,L,5,H,L,4,L,L,5,H,L,5,L,L,5,L,H,5,L,L,4,L,L,5,L,H,5,L,H,4,L,L,5,L,L,4,L,L,5,L,L,5,L,L,5,L,H,4,H,L,5,L,H,3,L,H,5,H,H,5,L,L,5,H,L
3,H,H,4,H,L,3,H,L,3,H,H,4,L,H,3,H,L,3,H,L,5,H,L,2,L,H,3,H,L,3,H,H,3,H,H,5,L,L,2,L,H,3,H,L,3,L,L,4,H,L,3,H,H,4,H,L,2,H,L,5,H,L,3,L,L,3,H,L,3,H,H,3,H,L
3,H,H,4,L,H,4,H,H,5,H,H,3,H,H,4,L,L,2,H,H,4,H,H,4,H,H,5,L,L,2,H,H,4,L,L,5,L,L,3,H,H,4,H,H,3,L,L,5,L,L,4,H,H,5,H,H,3,H,H,4,L,H,3,H,H,5,L,L,3,H,H,4,H,H
4,H,H,5,H,H,4,H,H,4,H,H,5,H,H,5,H,H,4,H,H,5,H,H,5,H,H,5,H,H,5,H,H,4,H,H,4,H,H,4,H,H,4,H,H,5,H,H,5,H,H,5,H,H,5,H,H,5,H,H,5,H,H,4,H,H,4,H,H,5,H,H,4,H,H
3,H,H,2,H,H,4,L,H,2,L,H,3,H,L,2,H,L,3,H,H,4,L,H,1,L,L,4,L,L,4,L,L,2,L,H,4,L,H,3,L,H,1,L,L,3,L,H,3,H,L,3,L,H,2,H,L,1,L,H,2,L,H,3,L,H,2,H,L,3,L,H,3,H,L
4,L,L,3,H,H,4,L,L,2,H,H,2,H,L,1,H,L,4,H,L,1,H,H,1,H,L,4,H,L,3,H,L,1,H,H,1,H,H,1,H,H,1,L,L,5,L,L,3,L,L,1,L,L,1,L,L,1,L,L,2,H,L,4,H,H,1,H,H,4,L,L,2,H,H
3,L,L,3,L,L,3,H,L,3,L,H,3,H,L,4,L,L,4,H,L,4,H,L,3,L,L,3,H,L,4,H,L,3,H,L,3,H,L,4,L,H,3,H,L,4,H,L,5,L,L,4,H,L,3,H,L,2,H,H,4,H,L,4,H,L,5,L,L,3,L,H,4,H,L
4,H,L,3,H,H,3,L,L,2,H,H,2,H,L,3,L,L,3,L,H,2,L,H,1,L,H,2,H,L,5,L,L,2,H,H,3,L,H,4,H,H,1,H,L,4,L,L,3,L,L,3,H,H,1,L,L,2,L,H,3,L,H,3,H,H,2,L,H,4,L,L,2,H,H
4,H,L,2,H,H,2,L,L,4,H,H,3,L,L,3,L,H,2,L,H,3,H,H,1,H,H,3,H,L,4,L,H,2,H,H,1,L,H,3,L,L,1,H,H,2,L,L,4,H,L,4,L,H,2,L,L,2,L,L,2,L,L,3,L,L,2,L,H,3,L,H,1,H,H
